Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
2.142441,-1.3853127,0.78976196,12.790185,147.36913,12.596037,1021.0182
19.771812,20.203394,0.53763425,18.062727,344.53595,10.822812,1014.23773
15.895795,17.092329,0.59075737,25.527723,272.0407,10.851963,1010.3832
5.3695126,2.6202948,0.9217781,13.060968,227.20084,14.545035,1019.29767
12.527816,12.379585,0.81644624,8.358005,264.77225,15.802846,1015.0492
8.075113,5.9174953,0.99568367,22.346645,15.899995,3.607704,1023.6541
24.479815,25.011873,0.4549981,16.984621,345.3307,16.1,1017.5165
13.344292,13.153719,0.8063536,9.725239,168.76035,15.660361,1006.62524
16.906105,16.96956,0.9948324,11.731298,160.1118,10.625708,1004.27966
23.451366,23.654253,0.43972585,15.915699,270.86926,10.578291,1006.30817
23.41787,23.431278,0.5313942,10.447953,260.10587,10.566946,1011.27124
8.966096,8.362966,0.97988963,3.2583888,305.32797,4.300828,1032.8473
4.0308976,2.516005,0.92662865,7.5336313,237.72858,6.6874304,1022.4488
30.528336,30.051613,0.21931341,1.8836714,16.06341,16.1,1028.8197
3.7153497,3.2496107,0.88448876,1.9664842,154.4047,10.3812475,1023.72424
1.134358,-2.179965,0.9880702,8.051811,126.82476,2.4963741,1034.9636
21.184845,21.095993,0.91228604,0.9572557,288.75223,7.6819596,1027.7698
20.059961,21.240416,0.8097883,18.968718,352.968,11.024277,1020.1198
6.31661,5.0859375,0.8231115,9.481256,179.56505,10.015188,1012.5778
28.868063,28.898937,0.40879667,7.838557,18.897272,10.501425,1020.4424
16.76381,16.599,0.6103447,5.637466,342.58557,14.040508,1028.578
5.408842,4.6419716,0.6729882,5.2348814,267.47318,10.005059,1026.0198
5.873923,2.8020535,0.9141455,14.770457,331.42828,6.824303,1013.69086
16.59872,16.64614,0.7971672,7.1755676,144.94489,15.876186,1017.4335
4.4640775,1.7080246,0.93374944,11.2725115,193.35207,0.7662152,1023.1203
5.06968,2.3309908,0.82555616,16.775238,1.2818767,9.757888,1011.4028
2.4072137,-0.027385656,0.9835597,6.8437977,290.82892,7.5592775,1030.8346
2.0374608,-2.8635302,0.87104595,18.070496,164.89279,3.797562,1017.7946
6.681609,6.1457086,0.9299064,0.5309391,0.13586468,15.313295,1027.9037
20.127539,20.029173,0.74925864,3.5674822,76.17655,15.633378,1018.45386
5.4134226,3.4651713,0.9484503,9.291799,173.10423,0.71534944,1023.8933
-3.3380942,-8.715369,0.6830051,18.056875,7.5847464,10.498667,1025.5054
5.817792,3.1348424,0.91117376,9.077695,194.99042,15.784565,1022.81433
14.118236,14.121481,0.8269667,3.9179335,300.4159,15.560701,1017.67194
32.957172,33.285965,0.45692036,14.971188,47.566017,15.713907,1018.0769
15.381495,15.200033,0.70074075,8.921145,334.6894,15.9905205,1014.40875
12.084214,11.655781,0.9300474,6.663625,116.349335,6.0524735,1020.3439
22.930313,22.737293,0.39841974,15.652395,20.589197,10.609383,1032.2974
20.35169,20.06761,0.7389969,10.535696,331.5459,11.096533,1019.93866
31.505888,31.64736,0.6242161,7.04374,334.29376,11.366492,1029.9501
